# 30/12/2021 11:36:47 AM: Prices - EPEX Spot Market Auction - netherlands - Currency: EUR
Delivery day,Hour 1,Hour 2,Hour 3A,Hour 3B,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13,Hour 14,Hour 15,Hour 16,Hour 17,Hour 18,Hour 19,Hour 20,Hour 21,Hour 22,Hour 23,Hour 24,Minimum,Maximum,Middle-Night,Early Morning,Late Morning,Early Afternoon,Rush Hour,Off-Peak 2,Baseload,Peakload,Night,Off-Peak 1,Business,Offpeak,Morning,High Noon,Afternoon,Evening,Sunpeak
25/11/2021,191.79,203.03,198.58,,196.89,190.00,209.92,184.30,246.70,199.00,246.00,192.00,187.00,173.70,174.00,169.95,172.88,276.00,208.94,184.30,187.67,219.00,173.06,165.79,161.82,161.82,276.00,197.57,207.73,206.00,172.63,214.23,179.92,196.35,197.62,198.37,202.65,189.32,195.07,219.00,181.68,206.94,181.94,178.26
24/11/2021,175.60,167.54,173.30,,171.11,191.08,194.86,183.80,274.01,344.98,330.02,321.35,313.05,299.99,300.00,328.00,342.18,350.92,385.00,269.90,215.60,199.90,195.00,194.01,175.00,167.54,385.00,171.89,210.94,327.35,317.54,305.36,190.98,254.01,316.75,178.92,191.41,322.45,191.27,283.20,308.60,351.53,208.24,317.43
23/11/2021,163.00,164.00,157.00,,148.46,164.42,167.30,158.32,180.00,248.73,230.03,200.00,224.96,209.02,237.59,259.90,300.00,317.34,348.21,342.13,266.59,246.90,188.20,184.20,172.00,148.46,348.21,158.12,167.51,225.93,251.63,318.57,197.83,219.93,265.38,160.70,162.81,238.78,174.48,204.27,217.89,306.36,233.34,238.58
22/11/2021,175.86,153.75,138.32,,131.70,152.63,163.95,239.36,206.33,234.59,230.02,174.20,220.00,180.00,189.44,190.00,176.90,184.90,318.87,291.29,186.34,186.60,174.40,174.50,184.00,131.70,318.87,149.91,190.57,214.70,184.09,245.35,179.88,194.08,214.71,152.70,170.24,199.39,173.45,227.58,190.91,217.67,199.52,188.42
21/11/2021,142.87,84.21,82.56,,87.74,79.06,70.63,125.00,60.38,101.02,150.92,177.90,185.00,180.00,159.70,155.00,195.00,211.71,240.00,244.33,200.00,166.41,160.00,159.07,103.69,60.38,244.33,99.35,83.77,153.71,172.43,224.01,147.29,146.76,183.38,91.18,91.56,163.07,110.14,109.33,175.65,200.43,172.25,175.43
20/11/2021,176.00,176.00,195.00,,195.00,186.60,173.00,155.00,185.30,185.70,176.10,163.90,188.00,176.70,190.00,152.68,221.30,223.44,250.00,179.90,209.90,158.40,195.00,229.30,121.11,121.11,250.00,185.50,174.98,178.43,185.17,215.81,175.95,185.97,193.14,183.60,180.24,181.80,178.81,175.53,179.65,211.86,182.27,182.10
19/11/2021,195.00,174.00,171.02,,169.00,154.00,174.90,200.10,197.00,222.50,244.90,192.11,200.10,193.18,180.50,195.00,206.00,231.98,270.00,279.90,185.60,199.20,195.00,184.70,180.80,154.00,279.90,177.26,181.50,214.90,193.67,241.87,189.93,199.85,216.81,172.99,179.38,204.29,182.89,216.13,191.47,225.75,204.20,194.48
18/11/2021,200.00,191.70,200.00,,185.74,180.00,186.91,222.92,268.70,262.00,250.40,199.00,192.30,196.00,178.00,185.79,196.10,222.65,285.99,228.00,219.90,209.90,200.10,199.90,159.50,159.50,285.99,194.36,214.63,225.93,188.97,239.14,192.35,209.23,218.01,190.73,204.50,207.45,200.45,251.01,191.33,222.63,202.88,191.20
17/11/2021,194.01,189.12,173.47,,166.02,163.22,173.52,181.00,226.00,214.00,238.80,229.90,220.70,199.60,201.40,179.50,197.60,177.94,250.00,200.10,180.00,193.04,214.60,195.00,180.40,163.22,250.00,180.66,185.94,225.85,194.53,202.01,195.76,197.46,207.46,176.56,183.30,210.19,187.45,214.95,212.90,201.26,193.86,204.78
16/11/2021,182.38,167.37,162.14,,159.60,151.79,162.17,184.80,250.00,280.06,280.03,274.00,269.90,221.47,226.07,250.10,262.03,280.03,301.00,296.98,279.10,250.00,199.90,160.80,137.28,137.28,301.00,167.87,187.19,276.00,239.92,289.28,187.00,224.54,268.40,164.24,177.53,257.96,180.69,248.72,247.86,273.29,220.68,250.60
15/11/2021,165.85,158.90,155.81,,151.35,149.64,163.92,191.12,245.35,262.18,265.00,263.33,268.90,260.06,258.10,268.17,265.99,274.94,300.01,300.00,272.57,238.76,217.79,193.75,176.20,149.64,300.01,157.98,187.51,264.85,263.08,286.88,206.63,227.82,271.60,157.58,172.74,263.97,184.04,240.91,262.60,277.28,233.18,264.09
14/11/2021,184.73,170.03,167.24,,155.63,145.10,141.35,195.00,176.87,160.54,170.07,177.20,178.93,184.58,170.02,158.00,160.00,166.60,197.94,204.47,206.21,195.00,167.61,173.18,158.50,141.35,206.21,169.41,164.58,171.69,168.15,193.81,173.57,173.53,177.88,160.68,166.99,169.92,169.19,175.62,177.68,170.64,184.16,171.46
13/11/2021,84.50,84.25,84.07,,84.16,113.40,102.00,131.91,155.31,151.20,161.75,173.89,177.47,177.50,176.52,176.52,176.52,180.60,210.00,220.00,213.75,180.10,164.83,161.43,151.40,84.07,220.00,84.25,125.66,166.08,176.77,206.09,164.44,153.88,182.98,92.06,104.95,171.42,124.78,150.04,176.35,185.91,181.92,176.40
12/11/2021,167.72,164.25,162.16,,153.00,145.28,136.68,174.00,208.00,206.76,200.60,182.00,165.61,155.43,146.86,142.00,160.35,166.45,211.20,157.90,111.07,180.06,148.60,140.05,100.00,100.00,211.20,161.78,165.99,188.74,151.16,161.66,142.18,161.92,167.19,154.85,163.89,169.95,156.65,197.34,162.48,170.00,139.61,158.71
11/11/2021,168.03,161.36,160.00,,152.50,155.00,160.09,140.10,163.00,219.94,215.95,199.20,161.50,149.88,158.38,163.78,160.00,216.03,238.37,252.12,232.09,218.00,201.00,180.01,150.86,140.10,252.12,160.47,154.55,199.15,158.01,234.65,187.47,182.38,197.27,159.50,157.51,178.58,167.50,184.75,167.24,194.55,205.68,165.46
10/11/2021,93.74,99.90,94.86,,95.95,115.50,140.05,175.00,204.98,200.10,156.06,148.14,150.20,154.21,168.83,211.93,236.62,250.06,295.00,275.05,230.00,219.93,193.67,169.90,155.50,93.74,295.00,96.11,158.88,163.63,192.90,262.53,184.75,176.47,206.35,106.67,127.50,178.26,146.58,184.04,155.35,248.40,207.34,178.32
09/11/2021,153.01,151.23,151.01,,145.36,145.50,148.05,190.00,219.15,188.11,161.06,146.60,145.76,148.20,151.10,152.95,170.00,203.90,223.67,215.00,181.00,152.30,152.10,152.20,152.30,145.36,223.67,150.15,175.68,160.38,155.56,205.89,152.23,166.65,173.95,149.03,162.91,157.97,159.35,189.58,147.92,187.63,167.48,152.44
08/11/2021,200.10,189.00,180.00,,148.19,154.10,134.00,178.99,224.00,225.02,213.68,197.13,188.59,195.87,214.58,212.96,220.09,229.60,290.36,299.90,270.00,222.20,205.00,165.04,146.90,134.00,299.90,179.32,172.77,206.11,210.88,272.47,184.79,204.39,229.82,167.57,176.05,208.49,178.96,210.42,199.04,238.25,218.17,204.87
07/11/2021,64.22,62.62,54.83,,38.80,29.60,43.54,61.97,62.05,71.53,76.71,79.94,80.56,82.09,76.51,79.47,98.65,145.15,188.58,166.18,195.00,163.38,152.38,195.00,189.90,29.60,195.00,55.12,49.29,77.19,84.18,173.73,175.17,102.44,111.70,48.94,52.20,80.68,93.19,68.07,79.78,127.96,176.97,82.87
06/11/2021,133.91,107.56,106.20,,112.80,141.94,110.00,141.97,176.00,187.10,180.00,179.90,178.00,186.95,185.00,158.00,142.50,155.01,198.99,181.20,231.30,163.98,73.93,99.90,70.20,70.20,231.30,115.12,142.48,181.25,168.11,191.63,102.00,150.10,180.33,118.74,128.80,174.68,119.87,171.27,182.46,163.63,136.75,171.73
05/11/2021,132.25,132.59,129.89,,132.90,132.14,144.34,181.11,199.92,202.98,201.26,160.00,153.50,153.50,153.40,174.00,191.20,199.96,201.51,204.68,190.55,175.93,174.70,188.26,152.30,129.89,204.68,131.91,164.38,179.44,168.03,199.18,172.80,169.29,182.21,134.02,148.14,173.73,156.36,196.32,155.10,191.67,181.07,164.27
04/11/2021,165.39,152.51,145.87,,143.06,145.38,159.61,183.77,210.80,213.77,203.33,200.97,180.90,160.00,155.00,165.57,163.94,178.01,200.93,195.00,193.47,170.66,162.94,155.41,148.70,143.06,213.77,151.71,174.89,199.74,161.13,191.85,159.43,173.12,184.24,151.97,163.30,180.44,162.01,202.92,174.22,177.11,171.03,171.06
03/11/2021,146.68,143.08,140.25,,130.84,130.03,138.70,145.11,194.00,230.09,219.09,207.62,195.00,157.00,158.00,160.47,167.92,191.00,254.50,274.33,236.00,202.95,183.63,165.92,145.07,130.03,274.33,140.21,151.96,212.95,160.85,238.96,174.39,179.89,204.25,138.26,146.09,186.90,155.52,197.07,179.41,193.47,201.32,174.34
02/11/2021,145.00,131.95,128.92,,111.20,123.51,143.01,182.15,216.83,234.98,228.04,221.74,223.21,215.95,217.35,224.91,230.30,248.42,298.97,312.67,280.00,231.00,201.00,179.99,167.00,111.20,312.67,129.27,166.38,226.99,222.13,285.02,194.75,204.09,244.71,130.60,147.82,224.56,163.46,215.50,219.56,250.65,228.61,222.24
01/11/2021,92.50,55.06,43.92,,22.05,20.36,41.82,58.29,77.78,101.15,87.97,83.20,78.31,78.98,80.55,81.52,98.83,108.90,169.90,183.00,179.90,163.08,151.51,147.37,134.90,20.36,183.00,53.38,49.56,87.66,84.97,160.43,149.22,97.54,111.02,45.95,51.47,86.31,84.05,81.30,80.26,114.79,159.96,83.57
31/10/2021,129.62,114.14,80.04,68.61,57.11,58.65,53.61,54.73,60.24,61.09,71.71,64.99,64.91,61.66,56.12,56.15,63.10,69.92,81.75,107.52,119.90,100.00,57.95,79.90,59.34,53.61,129.62,89.90,56.81,65.68,59.26,94.77,74.30,74.11,73.24,80.25,75.19,62.47,74.92,61.94,61.92,67.73,87.44,61.16
30/10/2021,112.47,95.61,76.04,,70.08,70.41,77.50,81.30,94.06,117.65,194.60,200.60,194.90,177.75,151.61,130.59,111.49,133.46,188.50,200.10,240.00,195.00,152.43,189.94,180.30,70.08,240.00,88.55,80.82,176.94,142.86,190.52,179.42,143.18,170.10,83.69,84.68,159.90,116.26,121.90,181.22,141.01,192.96,161.16
29/10/2021,103.56,83.99,78.35,,69.41,74.11,91.20,132.65,191.68,199.36,211.13,150.21,108.38,95.46,82.04,89.90,101.05,137.90,190.00,218.81,225.10,206.00,202.00,193.00,181.00,69.41,225.10,83.83,122.41,167.27,92.11,192.95,195.50,142.35,150.78,83.44,103.12,129.69,133.91,183.71,109.02,129.71,204.32,104.51
28/10/2021,193.00,164.90,164.90,,134.90,131.70,161.22,180.00,225.02,250.34,209.51,175.11,149.92,128.01,112.00,113.01,140.00,173.05,198.93,220.69,249.36,179.97,166.00,163.00,149.90,112.00,250.34,164.43,174.49,196.22,123.26,210.51,164.72,172.27,176.66,158.44,169.46,159.74,167.88,216.22,141.26,156.25,188.15,136.34
27/10/2021,119.90,77.84,71.93,,72.13,80.42,94.00,124.78,197.55,242.91,229.07,213.20,170.90,134.90,100.00,100.03,130.00,152.00,207.56,235.27,240.15,222.34,168.00,175.80,199.90,71.93,242.91,85.45,124.19,214.02,116.23,208.75,191.51,156.69,179.67,86.04,104.82,165.13,133.72,198.58,154.75,147.40,206.91,141.51
26/10/2021,160.30,164.52,153.04,,149.23,154.30,180.70,214.50,235.71,250.10,237.83,224.01,201.30,181.23,175.20,153.73,175.10,190.20,223.47,243.00,202.75,166.45,188.00,199.90,109.90,109.90,250.10,156.77,196.30,228.31,171.32,214.86,166.06,188.94,204.83,160.35,176.54,199.81,173.05,234.54,195.44,185.63,185.00,185.10
